StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q104,Q2,Q3,Q4,Q6,Q8,Q10,Q9,Q105,Q12,Q12_1_TEXT,Q12_2_TEXT,Q12_3_TEXT,Q12_4_TEXT,Q12_5_TEXT,Q12_6_TEXT,Q12_7_TEXT,Q16,Q17,Q19,Q18,Q20_1,Q34,Q35,Q26,Q27,Q28,Q28_1_TEXT,Q28_2_TEXT,Q28_3_TEXT,Q28_4_TEXT,Q28_5_TEXT,Q28_6_TEXT,Q28_7_TEXT,Q29,Q36_1,Q37,Q107,Q109,Q31,Q28,Q29TITOYW,Q29_20_TEXT,Q30,Q31,Q32,Q34,Q34_20_TEXT,Q35,Q36,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q44_1_TEXT,Q45,Q45_1_TEXT,Q49,Q49_1_TEXT,Q46,Q46_1_TEXT,Q47,Q50,Q51,Q97_4,Q98,Q52,Q99_4,Q100,Q53,Q101_4,Q102,Q54,Q55,Q56,Q57,Q58_1,Q59,Q59_4_TEXT,Q60,Q61,Q62_1,Q63,Q63_4_TEXT,Q64_1,Q65,Q66,Q66_9_TEXT,Q68,Q69,Q71,Q73_1,Q74,Q76,Q75,Q77,Q78,Q79,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90_1,Q90_2,Q91_1,Q106,Q92,Q92_10_TEXT,Q93,Q28_3_TEXT - Parent Topics,Q28_3_TEXT - Sentiment Polarity,Q28_3_TEXT - Sentiment Score,Q28_3_TEXT - Sentiment,Q28_3_TEXT - Topic Sentiment Label,Q28_3_TEXT - Topic Sentiment Score,Q28_3_TEXT - Topics
4/10/2020 6:27,4/10/2020 7:13,IP Address,24.34.81.96,100,2750,TRUE,4/10/2020 7:13,R_3IPPFOS4sJEviYR,,,,,42.46839905,-70.94650269,anonymous,EN,Yes,a very happy person,much happier,6-,2-,I have been very fortunate in my life and take time to give thanks.  ,"In giving back to others though service, I actually benefit greatly. ",Yes,30,"Religious organizations,Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?",10,10,,10,,,,,No,,,5,8+,"Steering committee and now Adviser to ElderAct club, a Group of elderly volunteers under the Rotary International umbrella.  Deacon for church, Mission Board for Church.  Co-chair of Swampscott for All Ages, an Age Friendly Initiative to create an aging friendly community in our town.  BOD for Hearing Foundation bringing low cost hearing aides to low income people.  Fund Raiser for multiple organizations. My Husband and I purchase and cook monthly meal at soup kitchen for 100+ guests.  Knitting shawls.  Run Caregivers Support Group (Alzheimers.) Currently organizing a team of 140 volunteers to call all Swampscott Residents over 60 years to ensure well being during this time of COVID 19.    ",Yes,100,,,,,,,,,,15,Yes,Unpaid,Local Government,Yes,"Not in labor force, other",Unemployed,,N/A,5+,Multi Cultural Specialist for Virginia Department of Health ,Unemployed,,,,,,,,,,Yes (please specify),Arabic ,No,,Yes (please specify),helped me know to pause and listen before acting. ,Yes (please specify),And to work with people of different cultures ,Listening. Empathy. ,Yes,Yes,51,Yes,Yes,50,Yes,Yes,100,No,Yes,High confidence,No,No,,,,,No,,,,,Both,"Issue-oriented group,Charity",,Sometimes,After Peace Corps service,No,1960,Massachusetts,Swampscott,Suburban,Suburban,Moderately better off,Both,Yes,Upper middle class,"$0 - $25,000",White (including Middle Eastern origin and Latino),No,No,Female,Married,Advanced Degree,Humanities,1982,1983,8,Morocco,Other,"I grew up in the Peace Corps, my family lived in India and Iran ",Because I believe in the Peace Corps ,,,,,,,
4/10/2020 7:29,4/10/2020 8:05,IP Address,24.60.15.240,100,2197,TRUE,4/10/2020 8:05,R_3gXHomChc57L7nk,,,,,42.24630737,-70.99720001,anonymous,EN,Yes,a very happy person,moderately happier,7- a great deal,2-,,,No,,,,,,,,,,,No,,,0,2-Jan,I lector at Catholic mass and am past member of the parish council there; former member of the Membership Committee of the BARPCVs and am on the Speaker's Bureau of Boston Area Returned Peace Corps Volunteers; past member of the Adams Shore Community Association,Yes,3,Religious Organizations,3,,,,,,,,10,No,,,Am not looking for work,"Not in labor force, retired",Other (please specficy),retired,N/A,5-Mar,"Dean for Undergraduate Business Programs and Director of Full-Time MBA Programs, both at the D'Amore-McKim School of Business at Northeastern University",Other (please specficy),retired,,,,,,,,,No,,No,,Yes (please specify),Working in a different culture forced me to step back from decisions and say to myself: is this a US decision and one that will work here or must I modify to reflect the culture in which I worked.,Yes (please specify),I learned how important it was to NOT make perfect the enemy of good or very good.,Dealing with university faculty and administration is a learned skill.  I learned to recognize the difference between need and passion.  This came in very handy later.,No,Yes,100,No,Yes,100,No,Yes,100,No,Yes,High confidence,No,No,,,,,Before Peace Corps service,1,Federal,,2,No,Issue-oriented group,,Rarely,After Peace Corps service,No,1946,Pennsylvania,Star Junction,Rural,Urban,Slightly worse off,Neither,Yes,Middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Male,Other,Advanced Degree,Natural sciences,1971,1973,28,Liberia,Other,TV and periodicals,To find others and learn about their experiences; have them learn about mine; assist in career and social activities,,,,,,,
4/10/2020 8:20,4/10/2020 8:27,IP Address,73.61.18.23,100,458,TRUE,4/10/2020 8:27,R_2fGQEXPSK7KyQyT,,,,,42.42799377,-71.0617981,anonymous,EN,Yes,a very happy person,moderately happier,5-,2-,,,Yes,40,"Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?",,,,40,,,,Teacher,Yes,Paid,Local Government,,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Yes (please specify),Spanish,Yes (please specify),,Yes (please specify),,Yes (please specify),,,Yes,Yes,91,Yes,Yes,93,Yes,Yes,100,No,No,High confidence,No,No,,,,,No,,,,,No,,,,Before Peace Corps service,No,1991,Minnesota,,Rural,Urban,About the same,Father,Yes,Lower middle class,"$0 - $25,000",White (including Middle Eastern origin and Latino),No,No,Female,Single (never married),Advanced Degree,Social sciences,2017,2019,27,Colombia,Alumni,,,,,,,,,
4/10/2020 8:10,4/10/2020 8:30,IP Address,66.30.12.48,100,1169,TRUE,4/10/2020 8:30,R_2rJxmtx7MqNPEjQ,,,,,42.39120483,-71.08820343,anonymous,EN,Yes,moderately happy,moderately happier,7- a great deal,1- not at all,,,Yes,50/month,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?",,10,,40,,,,,Yes,Paid,Federal Government,,4-Feb,I am reviewing Descriptions of Service for other evacuated volunteers.,Yes,30/month,"Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?",,,,30,,,,,,No,,,No,"Unemployed, looking",,,N/A,0,,,,,,,,,,,,Yes (please specify),"Armenian, Ukrainian, Twi",Yes (please specify),,Yes (please specify),,Yes (please specify),,"flexibility, patience, facilitation, counseling, grant-writing, project design&management.",Yes,Yes,9,Yes,Yes,2,Yes,Yes,2,No,No,High confidence,No,No,,,,,Before Peace Corps service,1,Federal,,10,No,,,N/A or Prefer not to answer,Before Peace Corps service,Yes,1980,,Almaty,Urban,Urban,Slightly worse off,Both,No,Lower middle class,"$0 - $25,000",White (including Middle Eastern origin and Latino),No,No,Female,Divorced,Advanced Degree,Social sciences,2014,2020,54,"Ghana, Ukraine, Armenia (65 months total)",Friend,,"To be connected with other RPCVs for networking, friendship and events.",,,,,,,
4/10/2020 8:04,4/10/2020 8:31,IP Address,100.17.24.123,100,1617,TRUE,4/10/2020 8:31,R_yDEb8V3ZjyHkzIJ,,,,,42.48809814,-71.27580261,anonymous,EN,Yes,moderately happy,moderately happier,5-,1- not at all,"I have plenty of ""down"" times, but I tend to be optimistic in general",,Yes,22,"Religious organizations,Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?,Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?,International organizations?,Other form of public service?",2,6,8,,4,1,2,Education and advocacy,Yes,Paid,Local Government,0,6-May,"Board Member, local Domestic Violence organization; Member, Rotary Club; Clerk for my church; Committee Chair for Women's Bar Association of MA",Yes,20,Other form of volunteering?,,,,,,,20,This form didn't allow me to write 19 in the community organizations section and 1 in the religious organizations,5,Yes,Paid,State Government,Yes,"Employed, at work",Professional and business services,,"Attorney, Firm Owner",5+,Lawyer,Professional and business services,,Greater than 5 years,0,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes (please specify),Turkmen,No,,Yes (please specify),Logistics and pragmatism,Yes (please specify),Logistical understanding; cultural understanding,"I'm a small business owner, so I need self-motivation and I need to identify the need that my business is trying to fulfill. This is exactly like my Peace Corps experience, where I identified a need and tried to provide a solution that worked for people. Also, using a shoestring budget and planning ahead. ",Yes,No,,,,,,Yes,100,No,Yes,High confidence,After Peace Corps service,After Peace Corps service,1,Local,,Elected for a 3-year term this year!,After Peace Corps service,2,Local,,19,No,,,,After Peace Corps service,Yes,1978,Massachusetts,Bedford,Suburban,Suburban,About the same,Both,Yes,Upper middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Female,Married,Advanced Degree,Humanities,2000,2001,12,Turkmenistan,Family Member,,Networking for job opportunities after service; helping newly evacuated RPCVs. ,,,,,,,
4/10/2020 7:03,4/10/2020 8:40,IP Address,73.253.171.142,100,5871,TRUE,4/10/2020 8:40,R_1jAIsls8BPfMdQa,,,,,42.32510376,-72.62760162,anonymous,EN,Yes,about average,about the same,4- neutral,4- neutral,"As a former USAR Officer and one of first PCV’s I continue to search for the allusive Peace based on, at the very least, enlightened self interest. I would be most happy if it were based on social- economic justice and reconciliation that celebrates our common humanity.",,Yes,20,Other form of public service?,,,,,,,20,ROTC,Yes,Paid,Military,3,8+,"Advocacy Board, UMASS College of Education. Pioneer Valley Planning Commissioner, Town Selectman",Yes,35,,,,,,,,,,7,Yes,Paid,Local Government,Am not looking for work,"Not in labor force, retired",,,N/A,5+,"Teacher, School Administrator, school Superintendent, EVP F for Educational Programs,Graduate Dean",,,,,,,,,,,No,,Yes (please specify),"Living with3 other PCV’sfrom across the US, and having been through Outward Bound as part of PC training we learned the importance of teamwork to meet challenges as volunteer",Yes (please specify),Working with people in a remote barrio in the Philippines to fund and construct a schoolhouse.,Yes (please specify),Learned the how to accomplish shared goals notwithstanding cultural differences and resource limitations,"Flexibility,sensitivity, and respect in working together to focus on aspirations and goals.",Yes,Yes,93,No,Yes,95,No,Yes,100,No,Yes,High confidence,After Peace Corps service,After Peace Corps service,8,Local,,Over 20 years as Town Moderator and now first year as Town Selectman,No,,,,,No,,,N/A or Prefer not to answer,Both,Yes,1939,Michigan,"Farmingdale, NY",Suburban,Rural,Moderately better off,Mother,No,Upper middle class,"$150,000 - $250,000",White (including Middle Eastern origin and Latino),No,No,Male,Married,Advanced Degree,Social sciences,1961,1963,22,Philippines,Other,I proudly answered President JFK ‘s clarion call to Service.,"To stay connected to a mission, that along with the military , has focused my life towards service above self in the interest of enlightenment, progress and common humanity.",,,,,,,
4/10/2020 8:51,4/10/2020 9:07,IP Address,75.133.179.20,100,944,TRUE,4/10/2020 9:07,R_4T5k4ddqSrnxAT7,,,,,41.62109375,-71.08899689,anonymous,EN,Yes,a very happy person,much happier,6-,2-,,,Yes,40,Internships/Unpaid Position in the non-profit or government sector?,,,40,,,,,working for a non-profit as paid intern,Yes,,,5,6-May,"non profit board member, informal community service (visiting elders, making donated household good)",Yes,20,"Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?",,,,15,,,,,6,No,Paid,,No,"Employed, at work","Nonprofit,Other (please specficy)",entreprenuer,Writer & Herbalist,0,"I have only held various part time jobs, being self employed - this was fully informed by the freedom and flexibility PC gave me to do work that felt meaningful. My most important work since the PC has been honing in my grant writing skills and becoming a practicing herbalist.","Nonprofit,Non-agriculture self-employed",,Between 2 years and 5 years,2,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Yes (please specify),iTaukei / Fijian,Yes (please specify),Improved confidence & communiation skills,Yes (please specify),There's always a creative solution! The PC taught me to never give up.,Yes (please specify),"I feel certain that I can adapt and thrive in absolutely any situation, and find a way to put my skills to good use bettering wherever I may be. I have Peace Corps to thank for that.","Where to begin! I gained confidence in public speaking and thinking critically; I think much differently (more abstract & creatively) after learning a foreign language; I learned how to write grants, about community health and herbal medicine which I know do for my professional work; I learned how to live more interdependently and sustainably, which is absolutely crucial to humanity right now; I developed intercultural competency and awareness; I learned how to better communicate my needs and strengths; I am a better support system and listener to those I work with.... I could go on forever. Peace Corps changed my life like nothing else I have ever, or will ever, experience. I am who I am because of the Peace Corps and because of Fiji.",Yes,No,,,,,,Yes,100,No,Yes,High confidence,After Peace Corps service,No,,,,,No,,,,,No,,,Rarely,After Peace Corps service,Yes,1991,Massachusetts,Westport,Rural,Rural,Moderately better off,Neither,Yes,Lower middle class,"$0 - $25,000",White (including Middle Eastern origin and Latino),No,No,Female,Domestic partnership,4-year college graudate,Social sciences,2014,2016,26,Fiji,Family Member,,"Because Peace Corps is integral to who I am and I feel a duty to stay connected to the PC and RPCVs for the rest of my life, in support of our communal mission to support worldwide peace and friendship, and to make sure that the Peace Corps exists forever! ",,,,,,,
4/10/2020 8:48,4/10/2020 9:07,IP Address,69.244.231.126,100,1130,TRUE,4/10/2020 9:07,R_u23jJmWfmQYaDkd,,,,,38.68769836,-77.8368988,anonymous,EN,Yes,moderately happy,slightly happier,6-,1- not at all,,,Yes,160,Other form of public service?,,,,,,,Americorps Programs,"I was a full-time City Year Boston Americorps member for a year doing full-time public community service, and then I served two years as a teacher in BPS under the Teach for America Americorps program.",Yes,Paid,Local Government,1,0,"I currently am unable to do volunteer work because I am in social isolation fro COVID 19 and was just evacuated from my Peace Corps post after 2 years of service, but I have several volunteering opportunities set up for when social distancing is complete, that would total about 10 hours per week.",Yes,14,"Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?",,,,14,,,,,1,Yes,Paid,Local Government,Yes,"Employed, absent (paid time off, sabbaticals, hiatus, extended sick leave)",Educational services,,Teacher,1,Teacher,Educational services,,Less than 6 months,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Yes (please specify),Kiswahili,Yes (please specify),"I served as the president of a committee, and I had to do many projects in groups with community members.",Yes (please specify),It put me in situations I otherwise never would've been exposed to and forced me to problem solve and adapt.,Yes (please specify),I was doing this every day in the Peace Corps.,Cultural competence as a teacher.,Yes,Yes,100,No,Yes,100,No,Yes,100,No,Yes,High confidence,After Peace Corps service,No,,,,,No,,,,,No,,,,Before Peace Corps service,Yes,1993,Virginia,Warrenton,Suburban,Urban,Much better off,Both,No,Middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Female,Single (never married),Advanced Degree,Natural sciences,2018,2020,22,Tanzania,Peace Corps Alumni,,"To connect with other like-minded community members committed to service who have a similar specific formative experience with me, and who can relate to what I have lived like for the previous 2 years of my life in Tanzania.",,,,,,,
4/10/2020 9:01,4/10/2020 9:12,IP Address,209.94.141.213,100,659,TRUE,4/10/2020 9:12,R_O3trHU5uSjPBQHf,,,,,42.31199646,-71.10810089,anonymous,EN,Yes,a very happy person,much happier,5-,4- neutral,,,Yes,10,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?",,10,,,,,,Teaching English to refugees and new immigrants ,No,,,7,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes (please specify),Chinese,Yes (please specify),Yes,Yes (please specify),Yes,Yes (please specify),Yes,Flexibility,Yes,Yes,,Prefer to not respond,Prefer to not respond,,Prefer to not respond,Yes,,Prefer to not respond,Yes,High confidence,No,No,,,,,No,,,,,No,Other (please specify):,None,N/A or Prefer not to answer,Before Peace Corps service,Yes,,,,Urban,Urban,Much worse off,Neither,Yes,Middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Other (open ended),Single (never married),Advanced Degree,Business or trade,,,24,China,Other,Work,Meet and work with like-minded individuals ,,,,,,,
4/10/2020 10:40,4/10/2020 10:55,IP Address,38.242.8.210,100,890,TRUE,4/10/2020 10:55,R_5Bmms49jDP0Cp9L,,,,,42.45669556,-71.37470245,anonymous,EN,Yes,a very happy person,much happier,7- a great deal,1- not at all,,,No,,,,,,,,,,,No,,,3,2-Jan,,Yes,,,,,,,,,,,,Yes,Paid,State Government,No,"Employed, at work",Health care and social assistance,,,5+,,"Educational services,Health care and social assistance",,Greater than 5 years,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Yes (please specify),"Flexibility, tolerance",Yes (please specify),Clarify own ideas and learn from otjers,Yes (please specify),Learn from a wide range of world-views and perspectives ,Courage; empathy,Yes,Yes,,No,Yes,,No,Yes,,No,Yes,High confidence,No,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,After Peace Corps service,Yes,,Virginia,Alexandria,Suburban,Suburban,About the same,Neither,Yes,Upper middle class,,,No,No,Female,Married,Advanced Degree,Social sciences,1967,1969,0,Malaysia ,Peace Corps table/fair,,Support Peace Corps,,,,,,,
4/10/2020 11:12,4/10/2020 11:23,IP Address,97.81.41.36,100,673,TRUE,4/10/2020 11:23,R_2SIbv2wYsm2yu63,,,,,42.1125946,-72.084198,anonymous,EN,Yes,moderately happy,slightly happier,5-,4- neutral,,,Yes,,Religious organizations,2,,,,,,,,No,,,,2-Jan,Trails,Yes,20,,,,,,,,,Non profit housing,6,No,,,,"Not in labor force, retired",Nonprofit,,,5-Mar,Hospital administrators ,"Health care and social assistance,Nonprofit",,,0,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,No,,No,,Yes (please specify),,Yes (please specify),,Taught me empathy ,Yes,Yes,100,No,Yes,100,No,Yes,100,No,Yes,High confidence,After Peace Corps service,After Peace Corps service,6,Local,,20 years ,Both,7,Federal,,23,Both,Issue-oriented group,,Sometimes,After Peace Corps service,Yes,1956,Massachusetts,Waltham,Suburban,Rural,Slightly worse off,Neither,Yes,Middle class,"$75,000 - $150,000",White (including Middle Eastern origin and Latino),No,No,Male,Married,Advanced Degree,Business or trade,1978,,26,Lesotho ,Alumni,,Social ,,,,,,,
4/10/2020 13:15,4/10/2020 13:33,IP Address,66.30.124.149,100,1051,TRUE,4/10/2020 13:33,R_WwwLpU9mTW9DXrz,,,,,42.07739258,-71.04460144,anonymous,EN,Yes,a very happy person,about the same,7- a great deal,1- not at all,"Despite some family medical problems, some disappointments, I feel happy & blessed.",,Yes,6,"Religious organizations,Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?,Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?,Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?,International organizations?,Other form of public service?",5,1,0,0,0,0,0,,Was never employed,,,1,2-Jan,Helping people get citizenship,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Yes (please specify),Spanish,No,,Yes (please specify),Can't say.,Yes (please specify),looked at people and immediate environment.  Did what had to be done.,Comfort with people of other cultures and languages,Yes,Yes,5,No,Yes,5,No,Yes,4,No,Yes,High confidence,No,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,After Peace Corps service,Yes,1952,Pennsylvania,Hazleton,Urban,Urban,Slightly worse off,Neither,Yes,Middle class,"$75,000 - $150,000",White (including Middle Eastern origin and Latino),No,No,Female,Married,Advanced Degree,Other,1974,1976,24,Honduras,Other,School auditorium with JFK on newsreel,Similar views,,,,,,,
4/10/2020 15:43,4/10/2020 15:57,IP Address,71.233.61.49,100,795,TRUE,4/10/2020 15:57,R_cUTv62xCmQD4N9L,,,,,42.41670227,-71.68289948,anonymous,EN,Yes,moderately happy,moderately happier,7- a great deal,1- not at all,"glass half full, actually, glad to have a glass at all.","work in Haiti, work in Costa Rica, travel in Nicaragua, Peru, Honduras have taught me that I among of the luckiest, blessed folks on earth.",Yes,2,Religious organizations,2,,,,,,,"leading young peoples groups, short term overseas mission work, working with local elderly",No,,,4,0,,Yes,1-2 weeks a year,Religious Organizations,100%,,,,,,,,4,Yes,Paid,State Government,No,"Employed, at work",Construction,,Owner,5-Mar,Employee Umass Amherst Forestry Dept.   Home Builder,Construction,,Greater than 5 years,0,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Yes (please specify),spanish,Yes (please specify),,Yes (please specify),,Yes (please specify),,"speak little, listen a lot",Yes,Yes,93,Yes,Yes,91,Yes,Yes,100,Yes,No,High confidence,No,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,,Yes,1956,Massachusetts,"Bolton, MA",Rural,Suburban,About the same,Mother,No,Middle class,"$75,000 - $150,000",White (including Middle Eastern origin and Latino),No,No,Male,Married,4-year college graudate,Natural sciences,1978,1980,24,Costa Rica,Peace Corps Alumni,,I havent,,,,,,,
4/10/2020 15:58,4/10/2020 16:10,IP Address,73.114.205.131,100,704,TRUE,4/10/2020 16:10,R_3iPbu2IaLpVoi5E,,,,,42.24409485,-71.16880035,anonymous,EN,Yes,moderately happy,much happier,6-,1- not at all,,,Yes,16,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?",,10,,,6,,,,No,,,10,4-Feb,"committee service, work un public schools ",No,,,,,,,,,,,,,,,,,,,,,,,,,3,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes (please specify),oshiwambo ,Yes (please specify),"better listener, more empathetic ",Yes (please specify),particularly problem solving in resource limited settings ,Yes (please specify),Am more empathetic ,"experience working in cross cultural environment,  adaptable,  flexible ",Yes,Yes,50,Yes,Yes,80,Yes,Yes,100,No,Yes,High confidence,After Peace Corps service,No,,,,,After Peace Corps service,3,State,,5,No,,,,Both,Yes,1976,North Carolina,concord,Suburban,Suburban,Moderately worse off,Both,No,Upper middle class,"$75,000 - $150,000",White (including Middle Eastern origin and Latino),No,No,Female,Married,Advanced Degree,Social sciences,1999,2003,39,Namibia ,Other,Billboards ,,,,,,,,
4/10/2020 23:05,4/10/2020 23:16,IP Address,23.243.163.100,100,667,TRUE,4/10/2020 23:16,R_sZIxcSp1fDokCHL,,,,,34.02709961,-118.5035019,anonymous,EN,No,moderately happy,much happier,6-,2-,,,Yes,2,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?",,2,,,,,,Peace Corps Alumni Association,No,,,,0,Peace Corps Alumni Association Board Member.,No,,,,,,,,,,,,,,,,,,,,,,,,,1,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Yes (please specify),French,Yes (please specify),Flexibility and cross-cultural exchange.,Yes (please specify),"Creativity, resourceful",Yes (please specify),Cross-cultural experience.,"French, flexibility, adaptability, relationship-building skills, community organizing skills",Yes,Yes,72,Yes,Yes,70,Yes,Yes,82,No,Yes,High confidence,After Peace Corps service,No,,,,,After Peace Corps service,1,Local,,2,After Peace Corps service,PAC,,Rarely,After Peace Corps service,Yes,1988,California,,Suburban,Urban,Moderately better off,Both,Yes,Upper middle class,"$150,000 - $250,000",Asian (including Indian subcontinent and Philippines origin)*,No,No,Female,Single (never married),Advanced Degree,Business or trade,2010,2012,25,Cameroon,Other,Magazine ad,To meet people/RPCVs when moving to a new city.,,,,,,,
4/13/2020 7:40,4/13/2020 8:09,IP Address,170.97.67.112,100,1749,TRUE,4/13/2020 8:09,R_2Bbt4x4wx7Whq30,,,,,38.95379639,-76.8946991,anonymous,EN,Yes,moderately happy,about the same,6-,4- neutral,I work in a thankless job for the federal government--this is the major driver of whatever unhappiness I feel about my life.,I'm 61 y.o. and have been around long enough to know the ups and downs of life. I survived a brutal divorce about 8 years ago. That took a toll on my outloook.,No,,,,,,,,,,,Was never employed,,,,2-Jan,"I'm a member of a property committee that works and advocates for a 700 acre reservation. I do brush clearing type work plus tours, visitor engagement, etc. I probably do closer to one hour a week on average than 2. ",Yes,4,,,,,,,,,See prior answer about the property committee.,2,Yes,Paid,Federal Government,Yes,"Employed, at work",Federal government,,Regional Director,5-Mar,"All three of them. But I learned that each job I have had was less satisfying then the one I left. (The downside of ""moving up"" I believe.)",Federal government,,Greater than 5 years,0,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Yes (please specify),Krio (Sierra Leone),Yes (please specify),My PC experience and my participation on sports teams as a kid both iproved my ability to work in teams.,Yes (please specify),Problem solving via learning self-reliance.,Yes (please specify),Absolutely. Being a stranger in a strange land taught me the value of everyone's perspective.,"Diplomacy skills help with engaging with people. Learning to value others of various backgrounds helps see life through another person's eyes. Langage skills helped me decipher federal regs, statutes.",Yes,Yes,100,No,Yes,100,No,Yes,100,No,Yes,High confidence,No,No,,,,,Before Peace Corps service,3,Local,,19,No,,,,After Peace Corps service,No,1959,Massachusetts,Somerville,Urban,Suburban,Slightly better off,Father,Yes,Upper middle class,"$75,000 - $150,000",White (including Middle Eastern origin and Latino),No,No,Male,Married,Advanced Degree,Other,1981,1983,27,Sierra Leone,Other,VISTA was shut down in 1980-1981 and my application was forwarded to the Peace Corps.,I haven't been involved in one for many years now.,,,,,,,
4/6/2020 20:50,4/6/2020 20:51,IP Address,71.237.237.49,2,4,FALSE,4/13/2020 20:51,R_2aP6J6OrIzDLHMl,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2020 12:00,4/7/2020 12:01,IP Address,71.233.156.131,2,56,FALSE,4/14/2020 12:01,R_TvgSRU3P6aUt2gN,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2020 12:13,4/7/2020 12:13,IP Address,151.203.5.148,2,20,FALSE,4/14/2020 12:13,R_3Eilp1MjBYfpnEm,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
